Name;Description;Gamerscore
Bone-Cronch;A skeleton cronches through thick yellow peel. Attack it and kill it before it can heal!;10
A Titanic Ensemble;A pirate may choose to go down with their ship. A musical send-off concludes their sad trip!;10
Dead Pirates DO Tell Tales;All on the Ferry are sister and brother. Send forth a message to someone or other!;10
Hold My Grog!;Launched from your vessel, this cannon-fired trip must see you land safe on the deck of a ship!;50
I Don’t See Your Ship;You fought a crew, stood strong and brave and sent their ship to a watery grave!;20
Laden With Treasure;You've overcome a score of tests and now you're hoarding twenty chests!;20
I'm On A Whole New Adventure;So many voyages, but which one to do? Stow yours and vote for one placed by your crew.;10
You Can Always Trust The Untrustworthy;Plundered from an unwary crew, their Captain's Chest cashed in - by you!;30
When You're A Professional Pirate;Commendations are given by Companies when you've reached certain targets. Try to earn ten!;20
Tactical Chunder;When threatened at sword point, remember this trick: blind your poor foe with a bucket of sick!;20
Now Bring Me That Horizon;Each new pirate greets the world with anchor raised and sails unfurled!;10
Full Billow;All sails with the wind, what time it saves when speeding across the ocean's waves!;5
Handbrake Turn;To swiftly avoid a great danger you're dreading, steer hard and drop anchor to alter your heading!;10
I Wanna Be A Pirate!;A Company's pleased and you've reason to revel if your Reputation increased by one level!;10
Shopping for a Promotion;Your Voyages have earned you enough recognition so buy a Promotion and prove your position!;5
I'll Drink To That;Two different crews, their tankards held high, will meet at a tavern and drain them all dry!;5
What Shall We Do with a Drunken Sailor?;Too many tankards of sweet, golden grog will first make you queasy, then sick as a dog…;10
#BeMorePirate;A peg-leg, an eyepatch, a hat and a hook, all purchased to pull off the true pirate look!;5
Aye of Reach;Visit the Weaponsmith, you'll find they teach the value of buying a new Eye of Reach!;5
Blundarrrrbuss;The Weaponsmith's open, you'll see it's no fuss to purchase a glorious new blunderbuss!;5
Colourful Sails;Make your first buy from the Shipwright, who deals in figureheads, cannons, new sails and wheels!;5
You Fight Like A Merchant;Dexterous swordplay can keep you alive. Block an attack and then strike within five!;10
How Appropriate! You Fight Like A Chicken;Your trusty blade was just too slow. Now it's your turn to feel their blow!;10
But You Have Heard Of Me?;Your reputation is starting to thrive. Grab your Promotion, you've reached twenty-five!;10
Self Entitled;Titles are gathered from deeds near and far. Earn ten to show what type of pirate you are!;10
In Good Company;A Company's items are sold to the loyal, five upgrades rewards you with their finest spoil!;5
Did Everyone See That?;A heavy attack while you've boarded their ship may send your foe over the side for a dip!;10
Become Pirate Legend;A true Pirate Legend is one of the greats and for them, Athena's Fortune awaits…;50
Ignoring The Rules Of Engagement;To strike from behind is a sneaky attack that leads to a blunderbuss shot in the back!;15
Kraken Good Job;From under the waves a great creature arrived but you drove it away. Better still, you survived!;15
Perfect Dark;Through stormy seas in silent flight, no lanterns lit to pierce the night.;15
Friends Not Foe;A greeting, when given with Pirate Salute, can make a new friend - or perhaps a recruit!;10
"Legends - ""Cronch""";Just like Griffin, your pirate kin, 'cronch' a banana and eat its skin!;5
"Legends - ""The Greatest Race of All Time!""";Side by side, two ships must race with weapons silenced for first place!;20
"Legends - ""This is Unacceptable!""";A chest of yours has gone astray and been cashed in as some thief's pay!;25
"Legends - ""The Skullduggers""";Five legends from across the sea playing instruments in harmony!;5
It's A Pirates Life For Me;"The Voyage is done; a chest of old now safe with those who hoard their gold!";5
Master Gold Hoarder;You've gathered gold from near and far. A Master Hoarder now, you are!;20
Taking Orders;Your Voyage complete, a skull returned, praise from the Order thusly earned!;5
Master of the Order;Sun-bleached skulls from across the ocean earn the Order's highest Promotion!;20
I Am Not Obsessed With Treasure;A Voyage is over, back to land a merchant's cargo in your hand!;5
Master Merchant;The Merchant Alliance applauds your devotion bestowing upon you a Master Promotion!;20
Seeker of Lost Maps;Dig Up 250 chests whilst on Gold Hoarder X Marks the Spot Voyages.;10
Golden Voyager;Receive the Commendation for completing 250 Gold Hoarder Voyages.;20
Sailor of the Gold Horizon;Receive the Commendation for sailing 1,000 nautical miles on Gold Hoarder voyages.;20
Hoarder of Barnacled Gold;Receive the Commendation for selling 300 Shipwrecked Chests.;15
Keeper of a Glittering Hoard;Receive the Commendation for earning 150,000 gold from Gold Hoarder voyages.;30
Hoarder of the Captain’s Gold;Receive the Commendation for selling 360 Captain’s Chests.;50
Merchant Adventurer;Correctly fill 250 animal crates whilst on Merchant Alliance Contract Voyages.;10
Merchant Voyager;Receive the Commendation for completing 250 Merchant Alliance Voyages.;20
Sailor of the Merchant Alliance;Receive the Commendation for sailing 1,000 nautical miles on Merchant Alliance Voyages.;20
Black Powder Merchant;Receive the Commendation for delivering 100 Gunpowder Kegs on time.;15
Merchant Forager;Receive the Commendation for delivering 50 Fruit Crates on time.;50
Gilded Merchant;Receive the Commendation for earning 150,000 gold from Merchant Alliance Voyages.;30
Seeker of Lost Souls;Defeat 500 skeletons on an Order of Souls Bounty Voyage.;10
Voyager of Lost Souls;Receive the Commendation for completing 250 Order of Souls Voyages.;20
Sailor of the Whispering Bones;Receive the Commendation for sailing 1,000 nautical miles on Order of Souls Voyages.;20
Hunter of Cursed Captains;Receive the Commendation for defeating 1,000 Skeleton Captains.;15
Mercenary of the Ancient Order;Receive the Commendation for earning 150,000 gold from Order of Souls Voyages.;30
Master Hunter Of Villainous Skulls;Receive the Commendation for selling 360 Villainous Skulls.;50
Rum 'n' Bass (Legacy);Within The Arena, here's what you must do. Play music in contests, with four in your crew!;10
Pints Mean Prizes (Legacy);In The Arena, first join a contest, then drink lots of grog and deliver a chest!;10
Glorious Sea Dog (Legacy);To prove it's the Glorious Sea Dogs you love, purchase their Hat, Jacket, Hook and their Gloves!;10
Nice Pirates Finish Last (Legacy);So what if you've stolen some other crew's chest?;20
Hot Tub Crime Machine (Legacy);All crews take a soak to work out their troubles. (But please remember to turn on the bubbles!);25
Capture the Swag (Legacy);In The Arena, each minute moves fast. Deliver a chest before five have gone past!;30
Fortune and Glory (Legacy);Taking part counts as much as winning, until in 100,000 Silver you find yourself swimming!;30
Show Your Colours (Legacy);Within The Arena, try taking a trip in contests, aboard each colour of ship!;30
Captain of Silvered Waters (Legacy);Receive the Commendation for placing in the top three 100 times in The Arena.;30
Champion of Silvered Waters (Legacy);Receive the Commendation for placing first 100 times in The Arena.;50
Legend of Silvered Waters (Legacy);Receive the Commendation for placing first 100 times in The Arena as a Pirate Legend.;50
Sailor of Silvered Waters (Legacy);Receive the Commendation for completing 200 contests in The Arena.;35
Master of the Arena (Legacy);Within The Arena, you've caused a commotion. The Sea Dogs will sell you their Master Promotion!;35
Dining With the Stars;A midnight snack, if you desire, cooked to perfection on a fire!;5
Well Done!;Your hearty meal's turned out wrong. You left it on the stove too long!;5
Not So Well Done;Well-cooked meals are never easy, dine too soon and you'll get queasy!;5
Five a Day;Sampling every type of fruit will keep you fit to fight and loot!;5
Another Pirate's Treasure;Ill-gotten gains - yet, after all, they still sold to the Hunter's Call.;5
Night Bite;Little fishie, all aglow, off to The Hunter's Call you go.;10
A Rare Delicacy;If reeling a coloured fish in, take care, The Hunter's Call claim they're incredibly rare!;10
Meat and Greet;A feast of meats all roasted well, each kind to The Hunter's Call you'll sell.;10
Hunter of Trophy Fish;Receive the Commendation for delivering 25 Trophy Fish to The Hunter's Call.;20
Hook, Line and Sinker;A platter of each kind of fish will serve the Hunters quite a dish!;30
Legendary Hunter of the Sea of Thieves;Receive the Commendation for completing 57 Grade 5 Hunter's Call Commendations.;50
Master of the Hunters;Purchase the Master Hunter Promotion from The Hunter's Call Trading Company.;20
The Shroudbreaker;A sunken ship and ancient key will set you on a great journey!;10
The Cursed Rogue;A Cursed Rogue searching, never sleeping. What great secrets is she keeping?;10
The Legendary Storyteller;Adventures told with a fearless grin. Perhaps some truths might lie within?;10
